CI_Catelogies,Barcode_name,AIM_ID,Mid_AIM_ID,Enable,Prefix,Suffix,Pre_labelID,Label_ID,Suf_labelID,Check_digit,Length,Barcode_type,Check_transmission,Addon2,Addon5,Addon8,Start_stop,Extend_EAN13,Extend_Code39,Extend_UPCA
DIGIMARC,DigiMarc,,,,,,,,,,,,,,,,,,,
CODE128,Code128,,,,,,,,,,,,,,,,,,,
Code128SubsetA,Code128SubsetA,,,,,,,,,,,,,,,,,,,
Code128SubsetB,Code128SubsetB,,,,,,,,,,,,,,,,,,,
Code128SubsetC,Code128SubsetC,,,,,,,,,,,,,,,,,,,
S25,Code2of5Standard,,,,,,,,,,,,,,,,,,,
MATRIX,Code2of5Matrix,,,,,,,,,,,,,,,,,,,
DATALOGIC,Code2of5DataLogic,,,,,,,,,,,,,,,,,,,
IATA,Code2of5IATA,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,Code2of5Industrial,,,,,,,,,,,,,,,,,,,
I2OF5,Code2of5Interleaved,,,,,,,,,,,,,,,,,,,
FOLLETT,Code2of5Follett,,,,,,,,,,,,,,,,,,,
COMPRESSED,Code2of5Compressed,,,,,,,,,,,,,,,,,,,
EAN128,EAN128,,,,,,,,,,,,,,,,,,,
GS1_128,GS1_128,,,,,,,,,,,,,,,,,,,
EAN128_CK,EAN128_CK,,,,,,,,,,,,,,,,,,,
GS1_128_CK,GS1_128_CK,,,,,,,,,,,,,,,,,,,
UPCA,UPCA,,,,,,,,,,,,,,,,,,,
UPCA_P2,UPCA_AddOn2,,,,,,,,,,,,,,,,,,,
UPCA_P5,UPCA_AddOn5,,,,,,,,,,,,,,,,,,,
UPCA_P8,UPCA_AddOn8,,,,,,,,,,,,,,,,,,,
COUPON,UPCA_Coupon,,,,,,,,,,,,,,,,,,,
UPCE,UPCE,,,,,,,,,,,,,,,,,,,
UPCE_P2,UPCE_AddOn2,,,,,,,,,,,,,,,,,,,
UPCE_P5,UPCE_AddOn5,,,,,,,,,,,,,,,,,,,
UPCE_P8,UPCE_AddOn8,,,,,,,,,,,,,,,,,,,
EAN8,EAN8,,,,,,,,,,,,,,,,,,,
EAN8_P2,EAN8_AddOn2,,,,,,,,,,,,,,,,,,,
EAN8_P5,EAN8_AddOn5,,,,,,,,,,,,,,,,,,,
EAN8_P8,EAN8_AddOn8,,,,,,,,,,,,,,,,,,,
EAN13,EAN13,,,,,,,,,,,,,,,,,,,
EAN13_P2,EAN13_AddOn2,,,,,,,,,,,,,,,,,,,
EAN13_P5,EAN13_AddOn5,,,,,,,,,,,,,,,,,,,
EAN13_P8,EAN13_AddOn8,,,,,,,,,,,,,,,,,,,
ISBN13,ISBN13,,,,,,,,,,,,,,,,,,,
ISBN13_P5,ISBN13_AddOn5,,,,,,,,,,,,,,,,,,,
ISSN,ISSN,,,,,,,,,,,,,,,,,,,
ISSN_P2,ISSN_AddOn2,,,,,,,,,,,,,,,,,,,
CODE39,Code39,,,,,,,,,,,,,,,,,,,
CODE32,Code32,,,,,,,,,,,,,,,,,,,
CODE39_FULL_ASCII,Code39_FullASCII,,,,,,,,,,,,,,,,,,,
CODE39_DANISH_PPT,Code39_Danish,,,,,,,,,,,,,,,,,,,
CODE39_LAPOSTE,Code39_Laposte,,,,,,,,,,,,,,,,,,,
CODE39_PZN,Code39_PZN,,,,,,,,,,,,,,,,,,,
CIP,Code39_CIP,,,,,,,,,,,,,,,,,,,
TRIOPTIC,Code39_TriOptic,,,,,,,,,,,,,,,,,,,
C93,Code93,,,,,,,,,,,,,,,,,,,
Code93_FullASCII,Code93_FullASCII,,,,,,,,,,,,,,,,,,,
Code11,Code11,,,,,,,,,,,,,,,,,,,
Code11_CK1,Code11_CK1,,,,,,,,,,,,,,,,,,,
Code11_CK2,Code11_CK2,,,,,,,,,,,,,,,,,,,
MSI,MSI,,,,,,,,,,,,,,,,,,,
MSI_CK1,MSI_CK1,,,,,,,,,,,,,,,,,,,
MSI_CK2,MSI_CK2,,,,,,,,,,,,,,,,,,,
Codabar,Codabar,,,,,,,,,,,,,,,,,,,
ABCCodabar,ABCCodabar,,,,,,,,,,,,,,,,,,,
QRCODE,QRCode,,,,,,,,,,,,,,,,,,,
QRCode_GS1,QRCode_GS1,,,,,,,,,,,,,,,,,,,
DATAMATRIX,Datamatrix,,,,,,,,,,,,,,,,,,,
Datamatrix_GS1,Datamatrix_GS1,,,,,,,,,,,,,,,,,,,
Code128_Industrial,Code128_Industrial,,,,,,,,,,,,,,,,,,,
ISBT128,ISBT_Pair ,,,,,,,,,,,,,,,,,,,
ISBT128,ISBT,,,,,,,,,,,,,,,,,,,
AZTEC,Aztec,,,,,,,,,,,,,,,,,,,
TLC39,CodeTLC39,,,,,,,,,,,,,,,,,,,
BC412,BC412,,,,,,,,,,,,,,,,,,,
CHINA,ChineseCode,,,,,,,,,,,,,,,,,,,
DOTCODE,DOTCODE,,,,,,,,,,,,,,,,,,,
MICRO,MicroPDF417,,,,,,,,,,,,,,,,,,,
MICROQR,MicroQRCode,,,,,,,,,,,,,,,,,,,
MAXICODE,MaxiCode,,,,,,,,,,,,,,,,,,,
OCR,OCRCode,,,,,,,,,,,,,,,,,,,
PDF417,PDF417,,,,,,,,,,,,,,,,,,,
POSTNET,Postnet,,,,,,,,,,,,,,,,,,,
POSTAL,Postal,,,,,,,,,,,,,,,,,,,
DIGIMARC,DigiMarc,,,,,,,,,,,,,,,,,,,
PHARMACODE,Pharmacode,,,,,,,,,,,,,,,,,,,
ANKER,AnkerPlessey,,,,,,,,,,,,,,,,,,,
